symbol,trade_count,total_lots,total_pnl,trader_count,Profit
ADAUSD,42,811.21,-633.9300000000001,13,111.85
AUDCAD,397,413.23,-12757.880000000001,163,8286.59
AUDCHF,219,266.24,-17111.2,95,7631.61
AUDJPY,634,614.11,5208.83,202,39442.14
AUDNZD,188,180.81,-9144.06,79,4537.38
AUDSGD,8,15.72,-764.3900000000001,6,
AUDUSD,1579,1444.17,-17576.93,416,56982.0
AUS200,2,0.11,51.68,2,54.65
BTCUSD,3390,338.48,-7348.6399999999985,632,88252.53
CADCHF,195,126.31,6538.910000000001,83,13183.65
CADJPY,649,337.14,4691.61,165,24965.34
CHFJPY,617,267.42,10534.47,146,26565.41
DOGUSD,76,203.42,123.88000000000001,16,139.72
ETHUSD,357,1129.57,1951.58,94,19822.06
EURAUD,705,422.75,-5527.34,187,21178.96
EURCAD,541,258.25,5034.1900000000005,152,18334.85
EURCHF,201,160.32,-7930.74,96,12578.7
EURGBP,679,573.91,-5511.820000000001,241,16846.22
EURHKD,2,0.02,11.540000000000001,1,11.88
EURHUF,3,2.1,13.629999999999999,2,13.629999999999999
EURJPY,1651,1186.08,866.5700000000007,436,103134.99
EURNZD,297,188.69,14615.710000000001,114,27395.0
EURUSD,18848,26612.93,109408.29,2717,1113298.97
EUSTX50,7,0.44,-38.760000000000005,3,48.6
FRA40,23,12.030000000000001,-40.64000000000001,13,898.4
GBPAUD,577,324.39,18580.78,186,38249.43
GBPCAD,472,270.31,-6709.04,163,17021.47
GBPCHF,474,271.63,-11381.64,155,21961.79
GBPJPY,5388,4302.51,-82044.11,967,287831.7
GBPNZD,344,193.86,5778.44,134,20832.73
GBPSGD,7,0.98,-14.669999999999996,5,39.84
GBPUSD,10552,12172.08,82361.79,1722,688444.3
GER30,937,316.12,-9309.0,187,56339.39
HK50,42,108.28,3515.7400000000002,14,8046.45
JP225,108,548.18,-2233.89,17,1812.2
LNKUSD,17,8.03,-135.96,12,24.42
LTCUSD,35,396.5,-482.53999999999996,7,296.17
NDX100,9118,3727.82,-83734.72,1026,520059.29
NTH25,17,2.2,-139.0,1,6.52
NZDCAD,302,139.64,1618.53,105,6945.79
NZDCHF,128,140.22,-7047.74,56,3951.99
NZDJPY,295,255.83,-8442.32,111,11459.3
NZDSGD,12,14.72,226.10000000000002,8,556.66
NZDUSD,924,663.4399999999999,-33323.36,304,19284.56
SGDJPY,2,4.8999999999999995,1813.71,2,1813.71
SPX500,784,595.16,4605.320000000001,176,30455.29
UK100,301,110.44,-5735.14,31,35961.61
UKOUSD,47,103.32,-5237.94,21,547.1
US2000,17,115.57,1204.0600000000002,11,4207.889999999999
US30,8411,2345.17,-24022.079999999998,966,559826.06
USDCAD,1811,1937.32,81028.71,457,152400.26
USDCHF,1002,856.13,-11203.369999999999,326,48716.64
USDCNH,7,2.35,84.97,4,104.54
USDDKK,6,1.44,4.199999999999997,3,38.67
USDHKD,8,2.66,-23.63,3,17.119999999999997
USDJPY,6739,7181.67,59351.880000000005,1046,401924.01
USDMXN,10,1.84,-428.95000000000005,5,54.040000000000006
USDNOK,1,0.37,71.61,1,71.61
USDSEK,9,10.0,-2381.53,5,545.36
USDSGD,2,0.12,105.50999999999999,2,105.63
USDZAR,28,1.85,-117.35,8,47.12
USOUSD,437,829.795,-7205.95,117,16372.08
XAGUSD,400,76.9,16490.15,142,40992.35
XAUUSD,82614,24518.86,-775357.47,4672,4740422.27
XLMUSD,5,151.0,7.789999999999999,3,58.0
XPTUSD,10,1.3699999999999999,405.92,8,449.89000000000004
XRPUSD,85,195.45,869.93,17,1265.71
